charge_id | apt | plate | service | amount
----------------------------------------------------------------------------------------------------
59 | 171 | KA5524KA | PARKING_NIGHT | 1000
60 | 173 | AA9415YC | PARKING_DAY | 400
61 | 173 | KA1188BK | PARKING_DAY | 400
62 | 173 | KA2729CH | PARKING_DAY | 400
63 | 174 | AA8787BC | PARKING_DAY | 400
64 | 176 | AA1234BT | PARKING_NIGHT | 1000
65 | 180 | AA5993TH | PARKING_NIGHT | 1000
66 | 180 | AA9489XK | PARKING_DAY | 400
67 | 181 | BO7254EM | PARKING_DAY | 400
68 | 182 | BO0125EX | PARKING_NIGHT | 1000
69 | 182 | BO8887BB | PARKING_NIGHT | 1000
70 | 185 | KA1302H | PARKING_DAY | 400
71 | 186 | AA5553EB | PARKING_DAY | 400
72 | 186 | AA5553P | PARKING_NIGHT | 1000
73 | 187 | AA7007AO | PARKING_DAY | 400
74 | 187 | AA7007OO | PARKING_NIGHT | 1000
75 | 188 | A5568AC | PARKING_DAY | 400
76 | 191 | AA1677MA | PARKING_DAY | 400
77 | 191 | KA3326E | PARKING_DAY | 400
78 | 191 | K5775AC | PARKING_NIGHT | 1000
79 | 194 | AA5551H | PARKING_NIGHT | 1000
80 | 194 | KA8848AO | PARKING_DAY | 400
81 | 195 | AA1102AA | PARKING_NIGHT | 1000
82 | 195 | AA8838TX | PARKING_DAY | 400
83 | 196 | AA9933EC | PARKING_DAY | 400
84 | 197 | AA0403EM | PARKING_DAY | 400
85 | 198 | KA2882E | PARKING_DAY | 400
86 | 198 | KA2882TT | PARKING_DAY | 400
87 | 200 | AA8499AK | PARKING_DAY | 400
88 | 200 | AA5200H | PARKING_DAY | 400
89 | 201 | AA4388EX | PARKING_DAY | 400
90 | 202 | KA8801BB | PARKING_DAY | 400
91 | 203 | AA5054AX | PARKING_NIGHT | 1000
92 | 203 | AA8069M | PARKING_DAY | 400
93 | 205 | KA2882AE | PARKING_DAY | 400
94 | 205 | KA8482 | PARKING_DAY | 400
95 | 206 | AA1311BP | PARKING_DAY | 400

====================================================================================================
SUMMARY
====================================================================================================
New charges count       : 0
Existing charges count  : 95
Skipped vehicles        : 35
Missing tariffs         : 0

PARKING_DAY   count     : 0
PARKING_DAY   total     : 0
PARKING_NIGHT count     : 0
PARKING_NIGHT total     : 0

TOTAL TO CREATE         : 0
