path,function,line,end_line,async_func,remote_flow_hits,debt_check_hits,write_flow_hits,category,first_remote_context,first_debt_context
Bots/handlers/service_orders_workspace.py,_show_resident_records,1034,1074,True,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1047: FROM service_orders,
Bots/handlers/service_orders_workspace.py,_handle_resident,1101,1250,True,2,0,1,REMOTE_FLOW_NO_DEBT_WORDS,"1123: elif text(offer.get(""workflow_profile_code"")) == NEW_REMOTE_PROFILE:",
Bots/handlers/service_orders_workspace.py,_operator_orders,1261,1294,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1284: FROM service_orders o,
Bots/handlers/service_orders_workspace.py,_assert_order_access,1297,1308,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1306: resource = ""service_order_steps"" if action == ""CONFIRM"" else ""service_orders""",
Bots/handlers/service_orders_workspace.py,_order_actions,1374,1402,False,5,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1384: ""REMOTE_BATCH_ISSUED"": ""issue_new"",",
Bots/handlers/service_orders_workspace.py,_show_operator_order,1405,1419,True,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1415: if text(order.get(""workflow_profile_code"")) == NEW_REMOTE_PROFILE:",
Bots/handlers/service_orders_workspace.py,_receive_resident_remote,1422,1446,False,1,0,4,REMOTE_FLOW_NO_DEBT_WORDS,"1440: cur.execute(""UPDATE remote_order_details SET resident_asset_id = ?, updated_at = ? WHERE service_order_id = ?"", (int(asset[""id""]), __import__('datetime').datetime.now().strftime('%Y-%m-%d %H:%M:%S'), int(order[""id""])))",
Bots/handlers/service_orders_workspace.py,_program,1449,1452,False,2,0,0,REMOTE_FLOW_NO_DEBT_WORDS,1450: from service_orders_core import confirm_order_step,
Bots/handlers/service_orders_workspace.py,_return_own_remote,1455,1475,False,1,0,2,REMOTE_FLOW_NO_DEBT_WORDS,"1460: row = cur.execute(""SELECT resident_asset_id FROM remote_order_details WHERE service_order_id = ?"", (int(order[""id""]),)).fetchone()",
Bots/handlers/service_orders_workspace.py,_handle_operator,1550,1693,True,4,0,1,REMOTE_FLOW_NO_DEBT_WORDS,"1586: tr(lang, ""issue_new""): ""issue_new"",",
Bots/handlers/service_orders_workspace.py,handle_service_orders_text,1696,1742,True,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"1696: async def handle_service_orders_text(update: Update, user_states: dict, user_id: int, message_text: str, *, lang: str, user_mode: str | None) -> bool:",
CHECK_guard_sandbox_service_orders.py,inspect_runtime_source,200,264,False,3,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"240: ""service_orders_workspace"",",
CHECK_guard_sandbox_service_orders.py,inspect_database,267,450,False,9,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"280: ""service_orders"",",
CHECK_guard_sandbox_service_orders.py,write_report,453,458,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"456: report_path = LOG_DIR / f""guard_sandbox_service_orders_diagnosis_{stamp}.txt""",
CHECK_guard_sandbox_service_orders_v2.py,inspect_bot_source,177,247,False,5,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"211: ""service_orders_workspace"",",
CHECK_guard_sandbox_service_orders_v2.py,inspect_database,250,431,False,7,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"264: ""service_orders"",",
CHECK_guard_sandbox_service_orders_v2.py,save_report,434,439,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"437: report_path = LOG_DIR / f""guard_sandbox_service_orders_diagnosis_v2_{stamp}.txt""",
CHECK_profile_verification_terminology_v2.py,main,10,52,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"16: service = ROOT / ""Bots"" / ""handlers"" / ""service_orders_workspace.py""",
FIND_actual_service_order_state.py,inspect_one_database,189,218,False,8,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"195: ""service_orders_count"": None,",
FIND_actual_service_order_state.py,print_service_order_details,221,320,False,4,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"225: if ""service_orders"" not in tables:",
FIND_actual_service_order_state.py,scan_databases,323,376,False,7,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"336: if item[""ok""] and ""service_orders"" in item[""tables""]",
FIND_actual_service_order_state.py,inspect_current_sources,379,398,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"384: ROOT / ""Bots"" / ""handlers"" / ""service_orders_workspace.py"",",
FIX_live_services_sandbox_payment_schema.py,map_from_service_orders,158,201,False,8,0,1,REMOTE_FLOW_NO_DEBT_WORDS,158: def map_from_service_orders(conn: sqlite3.Connection) -> int:,
FIX_live_services_sandbox_payment_schema.py,verify_test_workflow,204,275,False,3,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"205: if not table_exists(conn, ""service_orders""):",
FIX_live_services_sandbox_payment_schema.py,main,289,334,False,3,0,1,REMOTE_FLOW_NO_DEBT_WORDS,"305: if not table_exists(conn, ""service_orders""):",
create_clean_live_sandbox.py,base_workflow_counts,93,110,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"101: ""service_orders"",",
create_clean_live_sandbox.py,main,288,455,False,2,0,1,REMOTE_FLOW_NO_DEBT_WORDS,"341: ""services"": ROOT / ""migrate_service_orders_and_fulfillment.py"",",
create_isolated_live_sandbox_v2.py,base_workflow_counts,93,110,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"101: ""service_orders"",",
create_isolated_live_sandbox_v2.py,main,288,453,False,2,0,1,REMOTE_FLOW_NO_DEBT_WORDS,"335: ""services"": ROOT / ""migrate_service_orders_and_fulfillment.py"",",
manage_staff_access.py,print_user,108,179,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"169: (""remote_requests"", ""ISSUE""),",
manage_staff_access_v2.py,print_user,108,179,False,1,0,0,REMOTE_FLOW_NO_DEBT_WORDS,"169: (""remote_requests"", ""ISSUE""),",
