entrance;apartment;charge_id;vehicle_id;service;service_item;period;plate;model;parking_time;charge_amount;paid_amount;balance_amount;overpaid_amount;payment_status;apt_charge_count;same_service_charge_count;sibling_vehicles;flags;hint
2;129;34;49;PARKING_NIGHT;;2026-05_2026-06;KA8009B;NISSAN;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;2;charge=35 vehicle=50 KA6786PE rest=1000;;
2;129;35;50;PARKING_NIGHT;;2026-05_2026-06;KA6786PE;MERSEDES;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;2;charge=34 vehicle=49 KA8009B rest=1000;;
2;133;36;68;PARKING_NIGHT;;2026-05_2026-06;AI5787ET;BMW;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;2;charge=37 vehicle=69 AM0808BO rest=1000;;
2;133;37;69;PARKING_NIGHT;;2026-05_2026-06;AM0808BO;MAZDA;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;2;charge=36 vehicle=68 AI5787ET rest=1000;;
2;134;38;70;PARKING_NIGHT;;2026-05_2026-06;AM1317HT;BMW;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;2;charge=39 vehicle=71 AA2558HK rest=0;;
2;134;39;71;PARKING_NIGHT;;2026-05_2026-06;AA2558HK;NISSAN;Night;1000.0;1000.0;0.0;0.0;PAID;2;2;charge=38 vehicle=70 AM1317HT rest=1000;;
2;138;40;52;PARKING_NIGHT;;2026-05_2026-06;KA4288BT;JAGUAR;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
2;139;41;56;PARKING_NIGHT;;2026-05_2026-06;KA6052PK;BMW;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;2;charge=42 vehicle=57 KA7764MK rest=1000;;
2;139;42;57;PARKING_NIGHT;;2026-05_2026-06;KA7764MK;PEUGEOT;Night;1000.0;0.0;1000.0;0.0;UNPAID;2;2;charge=41 vehicle=56 KA6052PK rest=1000;;
2;140;43;58;PARKING_NIGHT;;2026-05_2026-06;A7772C;LINCOLN;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
2;142;44;59;PARKING_NIGHT;;2026-05_2026-06;AA0721M;HONDA;Night;1000.0;0.0;1000.0;0.0;UNPAID;1;1;;;
3;144;45;80;PARKING_DAY;;2026-05_2026-06;AA9599BC;AUDI;Day;400.0;0.0;400.0;0.0;UNPAID;2;2;charge=46 vehicle=81 KA9959AE rest=400;;
3;144;46;81;PARKING_DAY;;2026-05_2026-06;KA9959AE;PORSCHE;Day;400.0;0.0;400.0;0.0;UNPAID;2;2;charge=45 vehicle=80 AA9599BC rest=400;;
3;145;47;85;PARKING_DAY;;2026-05_2026-06;AA1402MK;CHEVROLET;Day;400.0;0.0;400.0;0.0;UNPAID;1;1;;;
3;155;48;82;PARKING_DAY;;2026-05_2026-06;KA9151;TOYOTA;Day;400.0;0.0;400.0;0.0;UNPAID;3;3;"charge=49 vehicle=83 AA7020 rest=400; charge=50 vehicle=84 KA1175 rest=400";;
